language,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09
Puppet,17476,20830,7398,17190,18602,19120,22250,19469,18006,22036,21362,19356,18175,20963,18956,21266,23208,23225,22807,22040,19117,21444,18798,17679,17665,20827,18258,16809,23142,22275,21934,20092,17692,15154,11602,19000,18146
Groovy,16346,22198,10017,19334,22373,23860,26518,25338,23026,28003,29920,29594,24707,30530,28842,27180,27577,29011,37759,36349,31939,33195,31039,32706,35587,39780,33532,33255,35493,36460,35552,35409,32425,28968,23517,32139,29488
Matlab,13029,17297,7158,19695,16184,16497,20472,21626,18193,22357,20338,19147,18197,26902,29817,26277,25987,30550,37242,40282,42928,37629,30884,31228,35593,41351,42942,46006,43429,36507,34159,36684,32270,25471,23492,28108,26828
Rust,12538,15825,4276,17271,24414,25090,22246,26831,28386,38079,42287,37189,32981,43261,50148,60912,79002,65462,65673,74932,78287,68622,65335,71447,67024,74051,65855,72835,94661,87893,97212,87568,85250,67719,61520,92361,81231
OCaml,11274,13534,7304,16819,16865,13275,14660,14427,12594,13435,16017,16124,15596,18133,22785,21233,18147,16989,20452,19378,19571,28120,19582,20979,19389,24686,25255,25765,24471,26778,28559,25270,30505,22775,18104,25484,24866
Makefile,10484,12149,9235,14149,16729,14354,17553,17370,17634,18102,20857,20481,20699,26251,41406,46268,52888,48221,54312,56388,51862,51289,46739,49260,53675,64413,59156,60731,65001,58153,59982,58431,55191,45670,37816,61668,49660
Dart,10409,12022,6048,11679,15597,16231,18280,15467,15764,18095,17044,17537,14668,13770,10761,11262,12861,13530,17513,17078,17455,49353,10479,13106,14287,16340,16901,16240,16999,17094,15675,14147,13675,10527,6823,15290,14772
ActionScript,10117,12494,9689,13917,12615,10854,12399,12499,10946,11621,12281,11197,8083,10572,10432,9753,10029,8794,11949,10079,11171,9566,8055,8831,7388,8349,7875,8474,9687,7221,7008,8549,7304,5379,4420,5915,4990
XSLT,9549,10317,5096,9158,12840,11503,13315,12612,12210,13446,12045,13352,13370,12827,13504,12089,13346,13684,15659,15063,14504,12661,12259,13206,13984,15222,12489,14073,12789,13215,13331,13662,16874,12183,9478,14356,13042
TypeScript,8979,10194,2895,12512,15270,14414,21051,19952,16402,19069,24466,33614,21085,26598,25539,23307,24927,33875,42885,47858,57370,55020,53054,58839,69810,69958,87195,93178,112862,103198,113734,120523,121267,116739,111426,153282,160072
D,8365,10653,6941,12775,11166,14470,13299,12537,11322,10927,13535,12577,11747,12539,12545,10909,15542,14105,13244,14665,11969,11705,9214,14426,13279,11770,9320,10514,15367,15134,16154,19199,17227,11102,7775,13007,11074
FORTRAN,6671,7119,4613,5711,7452,7631,8398,8449,8842,10747,10193,8574,8566,9896,8476,9366,10132,12270,13109,12411,12500,12940,12063,11403,14442,14820,14575,15418,17923,14822,15031,14225,13953,12269,19512,14505,12320
CommonLisp,5983,6835,3816,6606,10341,11630,10289,10409,7424,8557,8472,8706,10413,10641,9999,13310,13800,11815,13888,12171,15472,12237,11284,12402,11804,12148,11852,13359,11821,10433,10261,11447,11371,8656,6779,9988,7920
Pascal,5808,6827,3557,6024,6417,6524,8439,7357,6529,7805,6581,6509,5882,8180,7690,8437,12162,10765,12444,12789,12197,12483,9812,13080,12913,15199,17227,16828,15801,13242,12032,11055,10364,9384,8582,10585,10500
Assembly,5789,6936,2723,7105,7336,8725,11585,9403,8466,8931,9990,8957,6791,12742,9337,9405,10194,10477,12385,14538,12343,12536,7946,10475,11004,14923,14566,13722,13988,10727,9927,13226,13317,8417,30423,11286,10225
Julia,5662,9207,4956,10120,14128,13994,15289,11845,12754,18425,16385,18802,16851,16614,16896,19476,22985,20622,21458,23561,25145,27664,25319,31240,38414,33330,26190,26689,24629,25938,29705,27886,34013,26776,24637,41177,37722
VisualBasic,5503,6109,1927,4797,5392,5477,6652,7516,6082,8162,8184,6691,7223,10814,10245,8887,9312,9908,14086,13137,11360,11698,11115,12593,12107,14004,14422,15717,18610,18422,13939,15651,14661,9752,7347,12092,11459
Arduino,5350,6192,2546,6756,7658,8746,10900,10188,8297,8632,10174,10795,8409,11261,11742,13164,13405,14010,16252,17164,17225,14191,13072,14418,15644,16570,16810,19475,22312,15501,13680,17477,13486,10194,10676,13836,11435
Haxe,4844,5126,2022,6355,7438,7714,8648,10506,8823,9354,7539,7204,9666,9868,9407,8399,10523,9756,10513,11302,9934,10570,8278,8970,8795,8925,8105,10112,10409,8541,11598,11230,7674,5835,5286,8307,8671
DM,4694,3779,193,6654,9374,8108,12018,8848,8403,10022,11093,10685,9211,12895,13492,15527,16863,19815,17432,19976,21657,23097,21070,18549,22943,25530,20622,32261,32986,35651,38998,40517,42093,31558,21337,34706,26362
PowerShell,4426,5128,2254,5856,6713,6218,7774,7680,7690,9492,11145,12056,10229,14124,13774,13624,16113,15164,19941,24311,25024,23330,22845,29634,27568,26973,38139,37741,52441,44688,48575,52590,52143,34678,29437,65892,58682
Racket,4312,5171,2515,3677,3937,3679,4657,4594,4557,4418,4655,3173,4060,4769,4344,5088,5176,5599,6243,8931,6110,5710,6037,7436,8112,8510,7105,7938,7053,5933,5187,5515,4662,3610,3813,4272,3264
Logos,4170,6588,694,4175,2038,1607,1531,1163,1285,905,1300,1140,1213,1856,2231,2590,1943,2380,3005,3718,2336,2652,3101,3247,2311,3745,2970,2482,2668,2047,2126,2656,1892,1498,1343,2329,1344
Scheme,4142,4935,2261,4904,6939,6120,5754,6220,6254,6242,7024,6591,5801,6758,6978,6049,6445,6360,6520,6419,6867,6917,5709,5629,6379,6486,6299,6349,7242,6862,5766,5651,5495,4351,4081,5525,5042
Elixir,3839,4490,1131,4986,4783,5882,4483,4562,6319,6199,9000,10844,8159,8520,6674,9407,11448,11527,12926,12981,16860,20103,18003,22660,25571,28238,25031,29951,36889,30967,31495,32206,32566,29789,29766,34295,32051
Swift,3690,4034,3235,4251,4862,3950,5223,6384,5169,54400,42285,44783,45020,59114,58017,64938,82070,93642,110997,137379,123915,130605,125526,143176,177129,197036,184432,224116,237867,216322,194106,199824,175653,150144,158215,198253,213164
ColdFusion,3491,3715,2100,2424,3260,3109,3308,2895,4288,4918,4854,3542,4576,3434,3159,2891,3435,3528,3803,3290,3728,3231,4399,4977,4136,6044,4134,7171,3914,5416,5562,8938,5555,9037,9549,4939,3272
Tcl,3086,3836,2898,3515,3836,2836,3399,3483,3344,3609,3762,4963,3168,9835,10381,11521,5635,3497,4537,4747,4696,4522,4432,3511,3882,7271,4116,4465,4426,3973,3818,3167,3488,2660,2823,3992,3442
Vala,2705,2417,1464,2664,2890,3072,3449,2400,2558,3348,4073,3828,2820,2695,2908,3709,4653,4772,4629,4883,7024,4085,3061,3619,2941,4001,2688,2880,4704,4051,3854,3647,3538,3297,4041,4740,4250
Processing,2688,4059,617,5477,5868,3977,5860,5944,4799,6913,4324,4707,4482,6944,7635,7770,10555,6469,8512,8474,9015,9845,5636,5710,6768,9546,11952,15816,16879,9652,6130,7191,7620,3675,3702,4378,3470
JupyterNotebook,2676,2617,5310,3598,4536,5436,7230,7437,5869,7310,11200,7877,9280,10291,11517,10242,14174,15304,19821,19726,19476,21457,22808,25744,34879,45892,53616,75595,86829,78153,67594,74060,62398,53772,48694,63461,66148
ASP,2605,4851,1405,4302,5143,5191,7493,11011,4237,4550,4337,4971,4876,9760,10443,10798,14098,10289,13238,15475,13052,9617,6504,8867,10087,13396,13438,12410,12089,5644,4403,5951,3143,2914,2049,4304,3151
F#,2604,5439,1762,6638,6570,5947,7812,6855,6273,7788,8299,5906,9317,9517,9639,10497,12034,12238,13434,13334,12247,11555,10526,12142,12739,15994,13485,16382,17589,12994,11709,15215,12426,10308,9965,12705,10323
Prolog,2186,3023,1199,2191,1668,1525,2017,2267,2794,1990,1614,2043,2552,3675,3880,3452,3762,3485,4018,3688,3283,3275,1772,2597,3817,4873,4803,4502,3275,2618,2164,2740,2140,2062,1276,1695,1681
PLpgSQL,2166,2136,737,1935,2388,2631,3069,3257,3278,3839,4255,3777,3204,3916,4384,5720,5620,5324,6995,7246,8267,7655,5195,6474,6843,7863,8462,8258,8463,8540,10711,9794,8732,7981,5873,7437,7272
Nix,1925,2307,1103,3849,5500,5404,5695,5703,4574,4631,4636,7441,6981,7677,7560,6783,9222,8525,7791,8303,8625,8086,7645,8410,9963,9405,10090,11241,13633,13345,14940,15182,14848,11301,11611,13554,18325
PostScript,1896,1996,597,1461,1478,1304,1697,2073,1551,1772,2195,2430,2662,4068,13286,7750,5750,4951,6417,6415,6460,6882,5616,5100,5891,4967,5455,6001,5123,4489,5499,4736,3378,2903,4153,3109,2903
WebOntologyLanguage,1883,2364,935,1496,1885,2584,3567,2909,2024,2782,3465,2074,2811,4217,3438,3110,8275,5324,7742,7931,6833,9723,6489,6256,7002,7464,7537,6806,5938,7350,6214,6023,5876,6014,4896,5686,5352
Eagle,1861,2487,767,2483,3020,2914,3218,3104,3013,4043,4144,4377,3864,4925,5662,6118,8442,10800,13386,11970,12081,9905,8734,9120,8039,9945,11462,10288,11028,8857,9140,9172,7087,6056,4353,5585,5979
Groff,1831,1645,1179,2153,2248,2727,2866,2532,2325,3477,2916,3512,3704,3787,3979,4573,9280,7141,11881,11265,9994,12477,10916,13075,13954,12253,10775,12582,13349,11963,11855,13304,10053,9008,7822,8866,9347
Verilog,1569,1825,939,2452,1972,1939,3822,3668,2413,2668,2320,1910,2444,3333,4001,4312,2496,2996,4654,6211,4975,3922,2978,2950,3667,4657,5811,6582,4214,2987,3450,3619,3635,2425,2097,2802,2618
Apex,1479,1771,812,1385,1734,2751,2427,2383,2093,2425,2549,2710,2433,2667,2426,1969,2500,2696,3007,2970,3322,2575,3529,3680,3018,4453,4471,4666,4748,5005,3801,3627,4751,2923,1987,3684,2122
Eiffel,1434,794,939,655,652,624,726,588,439,617,726,1013,1224,714,1441,1366,740,500,739,702,729,475,365,597,2440,1175,1077,1503,1227,595,558,863,905,447,441,515,339
LiveScript,1413,2126,361,2716,2300,2212,3063,3542,1593,2823,4387,4541,1624,1897,1571,1383,1908,1828,2977,2586,2733,3103,2361,2213,3109,2280,2288,2073,2970,2327,1553,1502,2199,1254,938,1851,1558
VHDL,1407,1913,731,2476,3549,4413,4790,4364,2887,2261,2863,2038,1431,3612,4959,4204,3576,3988,5364,5135,5580,4173,3513,3896,4635,5692,6496,4560,4974,5132,3499,4238,3355,2852,2308,2892,1715
StandardML,1274,2185,931,1958,1505,2042,1993,1881,1715,2261,1440,1788,1053,2327,2434,2480,2095,1876,2202,2024,2124,2899,2924,2762,2758,2092,2194,2057,2991,2798,2176,2257,2089,1717,1397,2021,1771
Coq,1258,1749,553,2045,1662,1497,1493,1563,1309,1921,2091,2280,3332,2847,2289,2658,3160,3131,2477,3206,2853,2599,2751,2038,3014,3366,2346,2350,2171,2645,2098,2368,2461,2759,2269,2635,2911
OpenEdgeABL,1182,2026,388,1535,1634,1135,1503,2009,2232,2638,2932,1700,1343,2397,2401,2265,1784,1835,3204,3002,3433,2928,2851,3292,2511,2136,2947,3771,2365,2140,1902,1589,1410,1094,1110,1290,1056
BitBake,1181,1630,1026,1402,2091,1510,1433,1254,1172,968,1520,1423,1226,1212,1212,2252,1808,2188,2065,2437,2161,2033,2295,3139,3043,2895,2955,2400,3521,4456,5565,4768,4357,3461,2680,3731,4178
AutoHotkey,1116,1329,238,1235,1478,1840,1641,1399,1389,1619,1439,1880,1896,1793,1188,1394,2016,2412,1962,1890,1936,1942,1753,2556,2590,3024,3529,3978,3837,2717,2758,3445,1974,1763,1843,1996,1890
Objective-C++,1091,1396,675,929,1347,1005,1811,6364,3571,2478,2591,2606,2385,2536,2403,2552,2987,2480,4974,4362,3490,3617,3139,7580,3833,3233,4742,8408,11668,5432,6334,6378,7259,4864,5674,9805,4698
Smalltalk,963,762,919,931,870,782,897,1036,1969,2767,1982,1007,1387,1368,1261,1254,1860,1717,2022,2052,2311,3093,2758,3055,1764,1639,1570,1535,2742,1647,1851,2127,2101,1753,1515,1887,1739
Delphi,957,578,970,197,141,82,138,113,90,125,58,70,63,61,42,53,76,83,83,49,47,33,48,37,20,21,31,171,44,24,23,71,31,25,87,69,60
GameMakerLanguage,956,1121,300,555,648,710,847,1173,1292,1695,1287,1559,1886,1276,1401,1688,2955,2577,2086,2776,1682,1052,1323,2114,1653,2559,2704,2002,3329,2165,1907,1715,852,788,888,1234,1754
SQF,928,744,43,485,890,948,1012,1482,1630,1890,2787,2930,5670,6850,6850,5454,8441,6514,7241,7239,7782,6487,3595,7737,7033,7768,6186,6775,9657,10117,9695,8433,8362,6143,6199,7519,5271
Xtend,913,654,200,638,584,550,630,1045,1190,1256,1414,1470,1124,804,889,1190,712,702,1290,1154,1320,999,726,1036,1992,1384,1724,1985,981,954,1481,1861,1557,1946,1517,2450,1598
CMake,882,1695,611,1849,1926,2372,2354,2523,2377,2839,2595,2752,2659,3949,3242,2938,3901,4460,8196,8774,7307,8553,8679,11047,10774,9241,7660,8305,11311,8903,11034,12802,10708,9853,7537,11093,10910
ApacheConf,870,1370,461,2015,3070,2366,2607,3651,2708,3585,5073,5394,5232,6754,6688,6544,13025,19529,24878,17334,17839,17392,14227,17097,21491,21641,12534,12078,16208,12929,11482,13613,10998,7210,6119,9048,9820
DOT,822,1508,120,1159,388,605,707,558,214,94,50,32,34,52,41,39,45,51,30,11,45,23,11,12,28,22,21,5,10,22,44,23,28,19,12,15,20
Batchfile,787,754,283,1426,1169,1074,1680,1727,1670,1531,1815,1633,1945,2022,2005,2815,3710,3547,5427,4831,6042,6716,6543,8909,9156,11268,9241,9128,10275,8477,8811,8602,8226,6391,5476,8049,8420
PLSQL,786,967,273,614,753,1011,1751,1824,2333,2907,3288,3272,3766,3735,3852,3856,3449,3201,5153,6591,6183,4729,3630,4853,4989,5258,5529,6304,6550,5114,4634,4388,3045,2928,2114,3826,3148
GAP,785,853,807,562,638,365,587,440,101,381,707,700,808,1119,763,569,464,606,2822,1067,564,1027,611,633,2183,1623,1618,1508,3366,2463,1524,1460,1618,1288,578,1270,965
IDL,763,752,341,1069,2989,2020,1978,2034,1304,1599,1969,1553,1302,1404,912,1085,908,1106,1337,1199,1518,914,948,1079,1093,1067,1205,1019,1204,1057,1041,1193,1310,1012,799,1359,1149
Perl6,756,753,459,580,913,908,933,1367,1180,1591,2065,1667,1759,2215,2181,2600,3527,4385,4519,4393,4656,3788,3466,4239,5560,8172,5698,7087,8541,3108,3493,3276,3541,3303,2927,3409,3276
Kotlin,746,692,458,472,631,964,1076,1248,1276,1578,2228,2454,2714,4201,3165,3918,3329,3539,5009,5810,6710,5592,4903,5782,8042,12294,14768,14181,15425,18307,16113,16754,13671,13068,19535,21520,13331
Mathematica,676,1082,378,1257,1646,1415,1786,1695,1420,1594,1790,4885,6090,7481,13511,9935,5161,7772,6832,6662,7059,5199,4212,5672,6516,7009,6614,6519,6305,6155,4192,4093,3237,2415,1993,3475,2360
Chapel,658,572,126,326,397,540,574,583,255,466,1793,2442,4359,1468,1814,1545,1564,2842,4449,1689,1319,1993,1611,1996,3813,1529,1197,1416,2076,1827,3309,1605,2042,1866,1069,2689,3578
Isabelle,648,203,342,330,437,959,769,651,463,435,528,325,90,234,128,124,82,312,290,527,339,602,407,447,481,332,269,531,410,359,503,455,566,314,344,376,251
Ada,635,1764,680,1241,1467,1140,1110,1710,1497,1235,1209,842,609,718,790,849,1111,854,1272,1399,1005,1066,1489,1108,1101,1348,1232,1513,1693,1401,1266,1659,1815,1135,855,1286,1606
Nemerle,624,794,259,315,213,210,303,333,648,370,193,132,152,194,16466,340,243,169,263,177,252,355,210,275,214,286,171,203,263,329,223,149,58,55,98,73,98
Factor,622,324,139,149,221,392,421,517,321,630,419,257,230,939,959,590,200,149,177,387,315,662,995,915,297,396,199,199,92,206,1372,560,643,647,287,379,248
CartoCSS,620,550,55,355,339,529,698,547,953,1375,1325,1382,1281,1392,737,1078,2032,1167,2127,1195,1931,1172,1811,2008,2012,1165,1163,480,462,677,772,471,622,972,1080,1151,1272
nesC,611,1183,1301,988,1259,2087,1967,1698,1324,1601,936,747,652,437,419,482,566,475,526,502,512,405,264,359,279,327,437,487,640,651,754,486,323,216,209,370,280
Brightscript,607,651,37,613,390,628,359,365,179,388,236,227,107,200,159,151,178,189,205,319,229,257,296,192,95,161,252,291,389,123,92,249,204,270,252,273,197
SuperCollider,579,750,114,444,591,569,586,843,557,1128,690,424,513,857,1318,575,849,792,1126,1075,1532,1206,1041,883,1890,1242,840,679,861,1017,981,733,671,601,387,885,865
