language,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09
AppleScript,374,506,492,891,938,1031,995,1095,602,1107,758,749,601,793,1010,1033,1155,765,777,845,792,625,785,2951,1697,1185,1128,784,964,723,695,576,1028,687,568,739,701
Gnuplot,359,339,154,263,370,118,222,550,2953,1221,773,791,595,573,601,977,1423,885,689,1228,4667,1356,792,1037,934,1137,739,772,1282,1476,1212,754,1202,1761,765,973,1668
Agda,354,291,216,455,614,743,552,654,437,1024,550,646,394,694,629,724,693,1063,1002,1423,1529,1687,1198,606,1093,1007,930,662,1029,989,687,672,972,1176,523,609,531
Crystal,330,174,138,252,268,234,317,174,236,412,545,363,433,370,916,901,746,1193,1559,2029,2859,4392,3070,5549,7179,5153,2917,3697,4437,5542,4938,3894,4666,5446,3631,5557,4219
Diff,296,220,100,522,256,240,288,218,133,397,208,555,284,555,420,527,992,1256,3002,314,166,226,103,209,152,174,89,191,182,257,264,235,247,287,77,200,195
Awk,296,336,52,330,323,199,502,298,220,306,207,340,443,426,218,379,373,355,423,547,697,523,289,470,287,482,427,498,1762,431,852,600,521,306,212,1348,404
AGSScript,292,465,325,419,453,527,607,507,618,360,377,388,852,2496,1480,835,841,594,547,769,309,606,461,354,747,625,312,346,496,464,570,437,472,351,267,426,511
M,261,548,64,577,408,513,488,509,358,388,316,314,277,553,705,691,574,590,549,450,262,217,124,196,228,272,310,243,315,190,311,324,460,253,261,301,305
Ceylon,254,714,132,610,516,394,459,264,552,646,681,696,585,604,373,718,547,442,482,432,527,428,413,343,681,938,865,926,714,852,856,470,384,451,304,430,741
UnrealScript,254,178,53,381,664,516,482,307,347,235,174,106,55,172,178,89,117,61,155,149,51,79,56,139,164,212,152,228,315,281,282,341,409,350,290,265,354
Lasso,250,406,57,508,329,287,273,195,91,102,96,136,92,164,128,202,173,100,265,148,248,107,371,527,47,81,103,147,80,353,167,95,59,98,145,207,62
LoomScript,226,231,0,454,209,106,59,125,345,260,260,248,186,46,85,259,192,507,393,308,208,249,439,400,651,230,98,171,46,322,132,182,327,151,61,153,97
Dylan,224,133,159,609,876,480,426,295,501,581,250,84,317,210,196,124,226,163,141,231,207,179,220,254,371,539,193,146,216,124,84,61,6,4,11,9,7
HaXe,212,278,924,162,258,207,218,157,117,111,48,121,17,61,57,23,52,35,27,25,31,38,19,18,14,39,94,18,12,35,39,21,30,19,11,32,24
LSL,210,145,3,426,250,483,1245,454,182,206,276,777,607,453,618,787,652,310,338,371,231,388,728,782,466,468,384,239,928,282,287,376,230,155,160,221,301
eC,209,669,18,16,21,299,225,389,177,649,189,158,320,258,83,91,25,81,125,100,22,72,15,3,244,158,786,384,296,152,302,243,134,250,238,189,112
REALbasic,209,239,147,64,114,151,95,67,241,113,57,73,113,123,42,86,115,110,85,111,220,215,129,163,123,119,157,67,42,42,75,198,180,87,64,173,75
Gosu,195,310,69,347,261,367,443,849,733,1202,1500,1625,1061,1582,863,626,888,724,951,1016,923,1547,912,704,918,720,1103,1014,1057,1308,1385,1012,1182,882,930,868,720
MoonScript,193,390,47,206,409,507,401,256,346,366,623,580,403,573,374,455,816,823,636,925,640,500,508,509,823,439,514,816,856,593,1076,507,294,391,533,437,404
XC,193,566,71,412,383,287,334,479,239,319,326,174,131,95,149,71,200,159,63,142,258,190,318,165,565,253,377,451,463,352,482,272,414,419,216,326,300
LabVIEW,183,176,235,159,429,608,383,167,262,279,301,716,1146,850,1176,1034,2112,2069,1508,952,633,782,724,697,698,965,748,726,1306,1441,779,879,657,639,648,704,554
X10,177,295,75,133,133,87,91,60,63,117,113,102,165,166,112,83,127,94,109,118,69,86,37,68,138,188,114,63,105,42,78,51,25,44,15,9,32
SMT,177,152,374,195,240,177,174,416,289,638,185,164,170,256,149,110,311,690,968,917,957,869,385,322,511,1208,563,559,688,628,518,521,759,564,387,694,450
Rebol,173,141,91,94,139,172,271,599,441,148,254,134,124,287,124,141,220,291,740,547,518,450,381,311,554,353,290,258,280,346,203,249,95,155,121,149,158
Yacc,173,73,123,96,85,179,91,78,88,112,54,78,32,85,138,96,257,192,381,601,776,834,478,177,368,510,897,1151,1147,579,515,373,542,339,258,225,519
Ecl,172,51,20,17,85,73,48,51,41,49,256,40,60,53,35,23,111,55,69,60,38,131,85,44,59,16,71,88,71,51,3,24,43,41,118,169,89
APL,170,79,53,98,42,56,138,68,203,193,136,172,105,123,87,43,150,53,119,87,289,348,60,134,114,176,149,85,134,74,168,67,112,62,102,122,145
ATS,163,207,59,301,499,246,219,191,496,229,150,304,322,321,271,654,354,252,248,270,452,206,120,183,372,252,180,220,274,243,138,90,256,233,187,142,141
LilyPond,163,281,121,351,198,236,278,263,238,337,376,797,156,392,380,763,851,533,809,1200,618,979,822,725,1224,1068,946,1099,936,732,509,566,455,469,423,244,369
Red,162,160,35,365,199,280,392,532,353,339,212,182,195,233,294,109,263,249,342,457,380,407,387,483,419,513,758,433,445,728,758,697,693,989,552,420,453
COBOL,157,241,178,340,335,602,389,588,459,353,294,259,164,241,205,260,279,256,665,274,420,531,257,470,157,240,251,261,140,183,107,110,336,161,93,123,49
Nginx,150,207,108,334,226,321,355,404,371,480,615,799,742,1122,1028,1132,1409,2002,2604,2741,3205,3107,2590,2899,3590,3455,3920,4229,4879,3449,4165,3796,4083,2903,3099,4428,5527
Slash,141,224,56,142,270,63,154,273,97,28,14,10,7,11,28,77,62,36,202,638,695,845,798,819,683,656,1091,369,444,390,474,779,709,367,260,667,530
Forth,136,230,91,143,361,174,197,173,295,356,342,201,139,194,243,245,530,630,713,713,628,579,521,647,691,681,870,1280,1203,560,494,520,527,411,551,541,478
Lex,136,168,51,91,72,94,159,311,119,167,81,309,114,142,145,141,122,116,164,217,354,237,196,442,510,538,342,397,465,372,653,1382,646,458,237,266,381
GrammaticalFramework,135,101,26,40,122,89,96,94,31,114,63,70,94,184,69,192,104,83,105,88,124,116,223,78,56,34,106,58,66,167,137,102,144,106,74,98,61
xBase,130,242,198,316,370,281,616,909,455,525,394,282,263,757,225,411,548,277,618,538,432,542,427,258,396,499,502,379,553,689,622,818,358,411,254,411,297
Cuda,121,181,33,242,653,381,673,1021,1546,2512,2246,1476,1791,2500,2096,2620,2710,2223,3049,3538,3705,3723,3311,3260,2983,3326,2765,3749,5464,3437,3519,3159,2552,2487,2274,2429,2990
APIBlueprint,113,250,270,65,140,320,415,299,347,735,772,504,1048,1093,724,850,809,1088,1641,1467,1712,1762,2225,1743,2454,3279,2511,2192,2507,2616,2007,2220,1559,1893,1656,1463,1685
Handlebars,113,81,24,185,346,659,591,364,280,696,622,379,1120,1492,565,663,1090,4376,3179,2594,3527,2779,2005,2523,943,247,268,194,248,235,826,473,623,152,81,161,118
GLSL,111,113,109,262,297,246,223,143,226,453,390,588,641,895,3010,2468,1735,2328,6747,5556,3952,3690,2869,4019,3160,5476,4351,5259,6562,3751,4107,4638,3210,2255,2341,4211,3374
ProtocolBuffer,108,210,84,137,74,90,130,270,265,155,176,190,130,255,177,281,191,339,641,984,781,918,1238,1481,1470,1437,1697,1859,1309,1474,1582,1084,1418,1177,4897,7867,2389
Bluespec,106,624,0,418,365,416,394,554,374,489,582,397,220,290,452,283,376,463,751,365,426,348,315,340,274,439,331,293,465,166,309,340,328,276,157,245,192
Smali,94,129,30,67,62,42,94,86,29,44,101,151,238,278,150,215,667,369,446,811,577,594,606,629,786,919,837,879,904,559,527,1785,938,559,579,6831,546
Mercury,92,73,84,102,178,172,153,232,603,498,752,469,473,462,466,867,464,208,160,137,390,158,208,220,298,228,212,250,214,314,195,213,346,190,138,177,151
AutoIt,92,115,139,454,431,506,891,1277,496,627,436,717,391,851,561,594,819,1130,997,1994,3265,1157,997,820,1019,905,668,1439,1903,1215,953,1270,744,717,571,1030,556
XS,91,87,25,32,61,67,5,10,30,15,98,28,40,20,244,78,71,39,74,53,89,110,59,99,77,49,75,67,101,29,75,78,15,26,98,61,11
Mask,86,21,29,277,315,111,121,14,57,54,16,58,22,86,81,36,11,75,134,115,132,44,52,104,78,89,78,69,27,43,44,7,70,49,41,76,91
PAWN,84,57,43,325,236,459,580,224,257,163,310,312,278,244,357,304,406,503,549,457,336,382,149,162,107,332,299,711,795,537,682,691,1166,431,482,979,762
J,83,71,103,63,95,173,160,141,123,50,84,29,44,63,127,95,126,68,53,90,88,153,78,57,59,73,37,302,61,73,41,65,80,83,114,97,64
GettextCatalog,82,111,141,148,198,237,223,354,524,463,648,272,392,523,592,461,571,966,2924,152,178,100,41,25,20,36,80,52,64,85,155,64,67,21,28,78,59
SAS,80,14,41,96,60,184,575,45,2202,2504,535,714,748,1185,441,432,452,309,594,429,538,528,480,394,617,718,612,616,823,834,785,832,941,1098,666,738,521
SAS,80,14,41,96,60,184,575,45,2202,2504,535,714,748,1185,441,432,452,309,594,429,538,528,480,394,617,718,612,616,823,834,785,832,941,1098,666,738,521
Logtalk,80,100,38,98,118,137,112,130,67,125,97,75,51,104,132,108,89,78,6,41,72,33,37,47,90,97,89,17,6,135,75,30,171,73,29,89,69
Idris,80,117,0,240,218,360,194,444,367,298,363,226,203,424,262,406,382,393,395,342,494,412,173,535,525,613,587,284,390,286,189,166,209,193,292,411,257
Liquid,76,83,15,59,193,232,733,833,679,1167,785,1448,972,1252,824,1030,751,1371,1666,894,1066,1388,1287,1215,1153,3103,2112,1817,1540,1407,2314,2497,771,488,870,1007,1243
Limbo,72,7,0,20,11,76,84,150,20,79,51,46,9,37,28,51,23,63,159,80,198,130,105,146,168,193,44,104,135,177,142,41,86,102,47,47,58
Oxygene,71,173,11,592,38,19,56,6,0,1,1,7,0,0,1,1,0,0,2,3,1,1,1,1,0,0,0,0,3,1,0,1,1,0,0,3,1
Mako,70,78,67,37,11,44,96,147,60,198,76,268,174,128,96,189,159,267,290,159,318,121,280,147,214,169,216,205,325,194,68,52,73,49,155,132,74
Modula-2,69,203,1,26,65,49,43,58,22,12,42,106,70,5,1,9,25,51,57,9,48,23,56,43,58,50,51,605,478,288,328,244,390,592,436,249,242
Oz,67,83,5,66,17,135,248,105,424,189,102,99,228,68,258,382,78,30,83,30,141,62,49,75,239,85,129,62,190,18,29,3,16,6,5,44,47
Squirrel,63,111,29,172,292,182,241,256,183,279,219,229,156,203,266,214,182,193,253,387,264,635,694,519,623,257,354,582,1097,732,1073,806,1041,417,562,994,1157
LLVM,62,194,1,157,130,105,436,147,96,34,143,103,58,269,157,366,329,386,399,447,1213,514,1035,641,1387,535,414,374,136,201,187,421,217,502,316,616,593
Elm,62,172,13,465,382,271,421,511,719,841,974,1118,858,1047,1536,2499,2970,2329,2087,2407,2948,2947,3073,4500,3374,3955,5390,7485,7432,5512,5324,4987,8012,6561,6011,6767,6601
Augeas,60,156,91,121,109,203,130,140,139,195,78,73,73,99,85,131,126,112,109,239,148,137,202,150,237,46,192,309,28,58,73,100,74,96,133,73,157
Opa,60,11,18,17,11,17,10,8,1,7,3,3,9,8,0,1,6,18,8,43,18,46,51,43,9,16,15,15,2,0,4,6,6,10,9,5,8
AMPL,54,78,10,81,108,77,232,128,34,48,43,89,74,129,75,100,595,390,310,375,431,329,692,281,434,621,668,615,890,872,828,685,863,1078,568,618,523
Self,53,4,50,10,87,45,37,39,11,5,5,1,49,36,9,10,9,5,33,7,16,8,2,5,16,46,32,10,11,13,8,11,30,28,115,14,14
Frege,51,89,71,70,58,119,198,261,87,119,131,159,99,316,314,268,214,420,553,218,147,215,232,608,345,536,502,600,688,382,566,327,273,105,77,97,166
DCPU-16ASM,51,5,159,26,93,30,37,8,2,5,6,4,0,0,1,0,1,1,3,1,1,7,1,0,0,5,2,2,0,0,6,1,2,0,4,2,1
SystemVerilog,50,95,50,98,56,147,179,368,274,135,312,249,243,388,858,1402,196,521,342,1060,729,430,357,312,618,1279,1226,1721,607,644,851,789,583,585,593,569,423
PropellerSpin,49,42,43,53,97,160,203,278,308,581,420,315,431,258,392,225,329,286,333,294,191,142,118,53,234,513,226,224,235,308,296,182,158,167,240,177,208
NetLogo,49,223,19,213,204,236,344,519,550,259,306,267,337,586,587,657,384,539,1394,929,1277,746,1357,683,772,670,783,862,969,809,641,620,664,446,281,626,335
Pike,46,45,2,175,166,240,211,137,139,198,265,258,128,270,191,241,147,182,198,190,209,197,209,240,148,239,173,262,195,223,317,323,219,149,118,93,139
Mirah,46,16,90,54,75,76,69,12,3,30,116,93,90,83,23,8,43,77,85,202,23,138,378,103,85,64,52,144,116,172,103,22,35,35,44,79,67
NewLisp,42,77,15,101,206,201,11,83,113,28,23,86,126,108,55,20,21,67,101,58,118,311,61,102,76,62,183,146,259,79,144,49,51,111,137,133,53
Volt,38,29,23,21,54,27,47,39,68,10,30,23,10,9,4,18,42,42,22,63,103,106,130,70,61,114,235,168,125,129,64,46,79,168,148,247,188
Bro,38,111,16,54,53,44,63,58,80,22,45,40,166,154,77,135,135,105,83,130,128,94,39,248,286,178,130,186,252,323,333,456,447,411,385,391,338
NCL,35,33,0,5,22,11,22,13,4,21,5,4,1,1,4,6,5,8,8,23,1,20,19,90,224,130,103,106,76,31,23,33,38,39,23,78,80
Brainfuck,33,13,9,19,13,16,39,57,29,217,462,395,430,444,418,364,431,432,694,796,707,626,457,183,216,155,144,694,108,101,105,112,95,73,147,117,70
Arc,33,31,35,142,220,158,97,244,186,94,57,30,46,159,187,62,72,112,116,148,102,58,48,39,74,26,38,49,37,57,375,88,56,35,20,33,73
Pan,32,212,2,108,10,174,529,292,208,438,224,131,256,227,354,92,42,46,332,257,306,114,11,169,131,83,75,155,313,275,230,300,140,143,216,118,114
Clean,31,11,3,44,11,12,34,5,16,92,9,1,16,17,43,22,11,32,103,166,498,17,31,113,68,75,68,92,88,160,155,142,115,29,10,34,39
Hack,31,13,0,47,73,104,136,139,304,167,167,206,150,422,612,787,717,1495,966,827,573,793,328,1101,950,1102,1734,1504,821,517,483,636,5189,838,459,608,1135
Nu,30,17,72,13,19,65,12,9,23,23,44,54,19,30,64,11,25,15,2,4,34,5,6,3,1,3,6,4,6,4,0,4,26,1,0,0,0
RagelinRubyHost,30,52,24,109,83,164,458,705,27,132,23,20,6,50,22,15,24,28,29,32,22,264,23,31,15,42,15,61,16,11,38,49,44,8,12,21,12
CLIPS,29,57,0,27,115,44,415,321,204,32,70,164,71,273,110,76,34,66,128,152,237,181,59,7,69,118,175,136,98,55,55,149,14,90,17,103,56
Genshi,29,58,13,61,135,140,200,140,48,45,39,71,43,76,32,21,41,35,142,153,139,179,121,41,114,58,55,48,184,79,98,154,107,135,115,182,228
Vue,28,16,1,259,57,39,46,51,9,30,44,12,35,60,73,33,22,114,110,41,71,338,460,593,516,965,1800,2458,2818,1962,1998,2985,2579,5799,5116,7658,7770
FLUX,27,11,7,118,78,25,52,108,55,69,101,68,74,72,85,82,131,158,119,185,120,115,196,171,143,338,184,103,222,404,382,217,125,130,125,85,159
VCL,26,85,33,65,82,70,119,44,72,105,190,122,172,201,208,206,210,144,210,196,54,18,25,22,18,10,17,22,12,17,12,12,8,7,6,5,14
InnoSetup,25,96,88,123,189,70,177,197,164,211,414,365,297,260,283,294,245,304,937,727,522,647,428,561,669,471,398,416,436,535,333,263,326,276,154,269,246
Pony,25,25,435,21,23,33,16,39,25,13,15,86,39,29,6,23,7,16,9,31,6,11,94,122,26,20,91,163,141,95,231,265,187,108,48,154,70
RobotFramework,25,22,6,28,41,90,56,29,39,58,69,283,585,304,122,223,195,349,498,246,264,404,341,320,148,282,437,531,588,1219,1749,1236,1032,997,919,1251,1022
wisp,24,3,16,118,25,51,207,174,136,40,157,35,25,44,42,61,26,71,95,61,90,101,73,73,29,51,61,49,18,34,36,23,11,5,6,12,3
Xojo,23,29,1,25,27,71,16,203,134,13,69,457,45,84,153,270,522,180,361,479,355,579,434,365,161,253,512,373,159,122,174,135,78,75,57,59,177
Monkey,23,29,29,25,24,41,147,62,87,85,129,55,120,112,68,65,99,24,89,36,30,79,95,76,69,194,87,38,101,72,92,27,16,7,5,27,46
MAXScript,22,23,0,30,58,61,81,75,22,90,87,77,26,36,24,45,49,54,107,52,53,171,77,106,75,139,230,269,168,185,186,169,169,140,178,268,391
PureBasic,19,12,26,6,23,73,14,71,60,47,78,67,33,64,107,59,68,53,3092,552,484,569,735,610,549,450,473,568,923,570,560,542,460,656,798,545,485
DIGITALCommandLanguage,18,16,5,13,127,83,127,161,113,1315,543,366,491,478,520,296,603,316,647,648,802,1125,1047,1199,1097,1643,982,1308,1250,1450,1572,1418,1237,1312,1423,1517,1229
ooc,16,115,134,162,248,162,72,14,3,77,177,577,500,773,575,465,496,421,845,858,474,316,1378,875,2403,3013,5285,2450,2245,2012,2519,1223,1239,680,158,551,644
XProc,16,37,25,43,63,98,48,77,120,99,8,96,138,92,47,62,83,420,142,183,70,143,74,52,188,87,149,91,198,149,249,200,164,139,41,60,56
Fancy,14,164,12,2,12,33,6,13,1,4,1,0,5,3,2,5,6,3,2,3,1,3,1,2,1,1,7,0,1,2,1,2,1,7,10,3,3
DTrace,12,10,12,2,1,1,5,40,13,26,1,27,1,3,19,98,101,22,87,102,86,40,49,81,46,176,84,79,130,127,90,173,132,85,95,148,123
Stata,12,54,2,39,100,172,138,220,617,370,742,770,846,677,608,796,971,1194,1627,1378,1884,1338,868,900,771,1293,877,920,869,909,867,615,578,644,762,988,868
HyPhy,12,2,1,0,0,0,0,0,1,0,0,4,21,3,1,4,3,4,0,3,217,50,0,39,7,5,9,19,9,23,9,16,2,3,8,9,2
Glyph,12,0,0,17,6,1,39,14,23,3,0,10,27,19,3,95,13,35,35,8,13,4,6,1,12,6,2,5,17,7,21,12,19,15,3,4,0
Boo,12,270,26,411,158,107,135,34,2,14,34,51,40,83,38,154,217,3,52,27,77,26,6,22,16,12,51,61,30,6,21,19,8,19,62,37,12
Turing,11,15,67,20,5,40,118,21,28,19,12,4,25,12,5,7,5,19,43,37,55,25,35,12,44,587,674,261,85,1,8,12,29,16,82,61,42
Bison,11,30,16,1,2,7,26,19,86,25,52,19,86,73,340,877,397,391,1113,568,306,111,4,5,5,12,13,11,34,10,4,60,20,19,5,7,5
MTML,11,7,0,16,7,2,10,10,1,0,5,3,9,9,3,45,20,104,36,44,83,31,2,20,5,16,53,45,17,44,0,7,0,0,3,1,4
ABAP,9,12,0,6,30,47,38,12,23,51,183,46,134,152,138,225,78,112,198,224,145,179,273,210,216,190,390,273,434,512,392,142,474,534,375,332,992
Shen,9,5,70,28,4,37,11,7,17,12,7,13,16,4,10,210,65,131,55,59,82,45,44,8,19,4,10,21,15,13,10,1,10,8,16,9,5
AspectJ,7,88,92,63,71,43,63,167,175,148,113,296,97,151,172,381,159,198,163,158,186,148,265,240,163,194,252,89,96,110,180,76,58,35,40,42,72
NetLinx,7,30,0,0,7,22,51,12,6,0,5,20,17,8,3,4,16,16,18,30,71,29,43,155,39,24,24,6,22,20,8,13,34,31,28,33,23
Thrift,7,7,5,34,77,21,60,38,12,17,10,58,107,44,113,67,492,1227,3190,3357,2446,3012,3993,2517,2477,294,173,365,311,185,154,184,259,209,141,183,191
Fantom,5,23,0,30,16,7,76,37,75,84,13,4,2,90,222,69,36,6,22,9,19,19,1,1,4,0,190,63,42,35,1,16,18,35,54,7,1
EmberScript,5,52,6,24,12,0,40,2,20,41,16,30,87,119,57,41,45,26,37,53,81,113,47,80,68,39,110,85,45,46,80,98,21,28,48,47,62
ChucK,4,15,22,8,65,27,20,85,75,75,56,34,90,27,52,133,114,155,122,143,199,163,73,144,77,188,212,137,90,121,144,92,60,53,68,63,89
IGORPro,3,31,0,19,25,34,18,22,18,94,41,38,42,60,19,70,48,139,99,71,70,53,45,133,93,257,59,63,112,128,102,161,107,97,99,135,117
KRL,3,15,0,178,144,3368,3521,559,73,258,353,307,174,248,209,138,50,7,629,119,4,11,10,38,74,106,35,32,41,61,410,180,47,26,87,124,41
Papyrus,3,7,2,33,13,14,2,13,30,311,288,381,74,85,429,547,909,403,402,263,494,442,354,262,276,313,179,243,456,217,219,721,263,259,163,351,105
RAML,2,93,0,168,240,197,102,67,98,145,113,78,102,116,180,90,181,186,436,501,438,396,631,700,699,744,751,747,653,1396,834,1122,756,643,846,935,1073
PogoScript,2,35,3,38,50,95,12,11,10,5,56,13,25,20,32,8,30,91,15,6,22,15,15,54,36,13,4,2,13,2,7,1,3,2,2,8,4
Rouge,2,0,0,0,5,0,56,16,8,7,0,1,0,0,0,23,0,0,0,0,0,0,13,0,0,29,18,89,1,0,0,0,2,1,0,0,0
POV-RaySDL,2,3,1,0,3,26,0,1,0,1,1,1,0,3,59,23,0,1,9,14,0,1,34,1,0,2,0,56,32,128,144,144,254,124,248,397,293
M4,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,9,102,509,309,425,288,383,452
Hy,2,10,21,37,386,112,56,159,93,56,140,132,153,149,170,291,258,191,300,219,373,765,742,208,176,368,142,270,286,214,182,175,158,126,137,188,149
BlitzMax,1,0,12,15,2,27,118,130,88,53,94,69,76,110,56,48,74,67,51,113,70,179,159,368,371,276,128,26,171,156,162,105,168,255,75,177,262
ComponentPascal,1,29,4,25,4,15,142,156,220,239,215,201,26,88,188,238,190,211,306,56,201,294,139,106,139,58,137,328,620,239,47,64,101,10,18,28,33
HCL,1,0,1,6,2,1,1,0,44,66,37,18,45,42,66,28,71,250,967,1383,2629,1694,1679,1972,2089,2316,3497,3397,3664,3046,2645,3152,2954,2439,2655,4695,3526
Cirru,1,0,0,3,30,15,26,22,23,67,19,8,48,39,10,5,34,7,87,71,35,78,73,126,73,96,54,26,51,86,71,48,55,62,38,29,20
PigLatin,1,64,6,42,3,59,53,209,31,51,42,53,57,216,161,217,120,151,134,147,158,141,71,121,106,237,153,180,99,69,55,89,121,143,42,78,42
Charity,1,0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,28,2,89,6,0,12,20,89,9,4,22,19,9,2,1,4
Opal,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,21,6,0,0,0,0,0,0,0,0,0,4,1
ANTLR,0,4,3,42,97,108,195,149,263,167,155,145,63,198,112,127,125,121,172,164,181,150,251,137,199,494,500,128,239,219,210,359,243,227,130,232,208
Alloy,0,0,0,0,16,11,9,47,181,49,72,81,45,3,6,73,68,302,342,201,149,61,482,171,91,587,617,387,488,247,75,124,97,52,34,126,127
Befunge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
Cap'nProto,0,0,0,0,0,0,0,54,3,0,1,16,8,4,11,16,70,15,16,6,18,2,7,60,53,46,30,69,89,27,25,31,79,51,34,82,188
Clarion,0,0,0,1,5,7,1,4,4,3,3,5,3,1,3,0,1,5,8,2,37,0,0,23,8,23,37,10,4,1,1,7,5,1,5,2,1
Click,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,2,0,0,7,0,105,74,165,2,1,0,3,0,1,11,0
Cool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,17,32,53,21,3,4,12,10,269,141,35,32,21,5,8,15,70,29
CsoundDocument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,14,13
CsoundDocument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,14,13
CsoundScore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cycript,0,0,0,3,1,3,2,3,8,7,7,1,0,12,10,23,3,3,9,2,1,7,0,6,5,23,1,29,20,4,4,5,0,11,1,7,1
DCPU-16Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogescript,0,19,0,7,1,1,10,4,23,40,17,10,1,1,7,0,21,0,2,29,8,4,0,7,38,6,24,7,16,9,3,4,4,0,1,0,0
E,0,12,4,21,41,0,4,15,46,3,7,56,82,28,46,56,15,0,8,34,71,76,104,161,73,135,164,56,103,16,26,5,53,19,4,26,23
EQ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
FreeMarker,0,16,0,10,94,77,83,95,57,138,123,78,765,934,824,527,468,363,1412,1281,1288,2026,1557,1053,1530,1833,1808,1935,3040,2226,601,530,392,1123,638,831,740
GAMS,0,27,0,15,7,12,18,9,18,17,52,71,41,48,33,27,144,111,55,233,64,21,15,5,13,46,21,39,14,89,19,26,15,1,26,42,122
GCCMachineDescription,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,220,28,89,69,94,107,35,50,30,10,10,14,615,447,307,1813,4801,3982
GDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,14
GDScript,0,0,0,0,0,7,0,0,0,0,1,14,22,92,270,226,411,565,338,1857,1171,746,840,1087,937,739,648,1552,1594,920,787,1337,973,1088,966,1323,799
Golo,0,0,0,0,0,0,0,0,0,0,5,1,5,0,0,94,52,14,3,1,0,66,10,20,0,5,12,39,18,4,17,1,0,10,28,82,0
Grace,0,0,0,0,0,0,0,0,0,6,0,0,26,43,10,7,0,1,0,106,41,80,4,2,8,3,0,3,0,25,6,18,12,10,24,33,9
HLSL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,87,51,42,18,107,137
Harbour,0,0,20,0,2,3,0,3,13,76,1,8,0,0,3,0,0,0,1,1,15,24,28,31,26,26,2,0,43,54,28,12,12,12,20,0,1
Ioke,0,3,6,3,5,1,43,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JFlex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JSONiq,0,0,0,29,20,130,226,250,282,158,351,681,732,841,645,90,6,31,17,9,26,16,6,3,4,3,0,47,86,9,7,1,68,70,43,7,1
Jasmin,0,5,0,6,0,0,5,0,0,0,0,1,2,0,8,51,7,11,12,29,14,13,6,23,29,43,15,9,52,69,9,117,206,61,12,15,61
Kit,0,0,13,11,4,19,77,4,40,54,34,40,7,6,0,1,17,10,19,19,2,24,28,17,63,9,4,23,52,6,2,23,38,16,3,88,19
LOLCODE,0,10,0,0,0,0,0,0,7,0,1,1,2,47,3,2,6,5,9,9,62,19,18,2,41,20,12,55,29,11,4,20,8,0,29,15,5
Lean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,90,172,148,45,27,54,38,25,25,91,105,57,71,30,14,8,2,96
LookML,0,1,0,0,3,3,3,4,3,3,1,61,56,76,130,155,181,329,483,277,258,269,274,500,691,772,912,276,623,894,546,518,674,276,425,453,552
Max/MSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Metal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,5,56,2,3,3,2,1,4,6,4
